"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2017",23.4564481073256,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2017",33.4254343612173,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2017",50.0124674634526,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2017",12.0960991265947,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2017",35.9833041743798,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2017",22.8670491482389,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2017",24.8628814577521,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2017",44.0315658977647,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2017",41.9107707198999,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2017",72.826037682768,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2017",41.3231719744653,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2017",9.23515069109464,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2017",47.045152236656,
"ITA","LTUNEMP","TOT","PC_UNEMP","A","2017",58.7945915625906,
"JPN","LTUNEMP","TOT","PC_UNEMP","A","2017",36.7231638418079,
"KOR","LTUNEMP","TOT","PC_UNEMP","A","2017",1.30923302717203,
"LUX","LTUNEMP","TOT","PC_UNEMP","A","2017",42.5803148129496,
"MEX","LTUNEMP","TOT","PC_UNEMP","A","2017",1.95570613778884,
"NLD","LTUNEMP","TOT","PC_UNEMP","A","2017",40.6777567958995,
"NZL","LTUNEMP","TOT","PC_UNEMP","A","2017",15.64339767327,
"NOR","LTUNEMP","TOT","PC_UNEMP","A","2017",15.6293494601213,
"POL","LTUNEMP","TOT","PC_UNEMP","A","2017",31.0261589428353,
"PRT","LTUNEMP","TOT","PC_UNEMP","A","2017",49.9532852683581,
"SVK","LTUNEMP","TOT","PC_UNEMP","A","2017",58.7952444583006,
"ESP","LTUNEMP","TOT","PC_UNEMP","A","2017",44.4802846140731,
"SWE","LTUNEMP","TOT","PC_UNEMP","A","2017",16.815834276333,
"CHE","LTUNEMP","TOT","PC_UNEMP","A","2017",37.8673508642684,
"TUR","LTUNEMP","TOT","PC_UNEMP","A","2017",21.8650448885028,
"GBR","LTUNEMP","TOT","PC_UNEMP","A","2017",26.0224505247093,
"USA","LTUNEMP","TOT","PC_UNEMP","A","2017",15.1059564719359,
"G7M","LTUNEMP","TOT","PC_UNEMP","A","2017",31.0257325027534,
"BGR","LTUNEMP","TOT","PC_UNEMP","A","2017",55.6560370661804,
"HRV","LTUNEMP","TOT","PC_UNEMP","A","2017",42.4571552600212,
"CYP","LTUNEMP","TOT","PC_UNEMP","A","2017",41.3698785076455,
"EST","LTUNEMP","TOT","PC_UNEMP","A","2017",33.4832073063541,
"ISR","LTUNEMP","TOT","PC_UNEMP","A","2017",11.5878224693303,
"LVA","LTUNEMP","TOT","PC_UNEMP","A","2017",38.4802701311506,
"LTU","LTUNEMP","TOT","PC_UNEMP","A","2017",38.0610435852454,
"MKD","LTUNEMP","TOT","PC_UNEMP","A","2017",78.4046141239653,
"MLT","LTUNEMP","TOT","PC_UNEMP","A","2017",46.7191418458992,
"RUS","LTUNEMP","TOT","PC_UNEMP","A","2017",30.4284260664016,
"SVN","LTUNEMP","TOT","PC_UNEMP","A","2017",48.3606075413391,
"ZAF","LTUNEMP","TOT","PC_UNEMP","A","2017",60.4409892146089,
"OECD","LTUNEMP","TOT","PC_UNEMP","A","2017",30.9821747705279,
"ROU","LTUNEMP","TOT","PC_UNEMP","A","2017",41.6066159558916,
"EU28","LTUNEMP","TOT","PC_UNEMP","A","2017",45.0703286015061,
"COL","LTUNEMP","TOT","PC_UNEMP","A","2017",8.41003180253518,
"CRI","LTUNEMP","TOT","PC_UNEMP","A","2017",14.7095620206499,
"NAM","LTUNEMP","TOT","PC_UNEMP","A","2017",12.4126605236404,
