,Index,Unnamed:,Entity,Code,Year,World Trade
0,0,0,World,OWID_WRL,1800,2.140985227
1,1,1,World,OWID_WRL,1801,2.404047444
2,2,2,World,OWID_WRL,1802,3.023091325
3,3,3,World,OWID_WRL,1803,2.625804572
4,4,4,World,OWID_WRL,1804,2.739896095
5,5,5,World,OWID_WRL,1805,2.452423515
6,6,6,World,OWID_WRL,1806,2.602440698
7,7,7,World,OWID_WRL,1807,2.613827858
8,8,8,World,OWID_WRL,1808,1.775507036
9,9,9,World,OWID_WRL,1809,2.600542665
10,10,10,World,OWID_WRL,1810,2.522552756
11,11,11,World,OWID_WRL,1811,2.159217293
12,12,12,World,OWID_WRL,1812,2.115038114
13,13,13,World,OWID_WRL,1813,2.174440647
14,14,14,World,OWID_WRL,1814,2.267282011
15,15,15,World,OWID_WRL,1815,2.9305141189999997
16,16,16,World,OWID_WRL,1816,3.017644347
17,17,17,World,OWID_WRL,1817,3.2633956630000003
18,18,18,World,OWID_WRL,1818,3.065482067
19,19,19,World,OWID_WRL,1819,2.825089808
20,20,20,World,OWID_WRL,1820,3.357307712
21,21,21,World,OWID_WRL,1821,3.3817992610000003
22,22,22,World,OWID_WRL,1822,3.547340355
23,23,23,World,OWID_WRL,1823,3.7032334689999997
24,24,24,World,OWID_WRL,1824,4.131801337
25,25,25,World,OWID_WRL,1825,3.9674345860000004
26,26,26,World,OWID_WRL,1826,4.430823885
27,27,27,World,OWID_WRL,1827,4.586846102
28,28,28,World,OWID_WRL,1828,4.827779502
29,29,29,World,OWID_WRL,1829,4.9666227
30,30,30,World,OWID_WRL,1830,5.152685622
31,31,31,World,OWID_WRL,1831,5.072184043
32,32,32,World,OWID_WRL,1832,5.267371644
33,33,33,World,OWID_WRL,1833,5.4896061739999995
34,34,34,World,OWID_WRL,1834,5.757384955
35,35,35,World,OWID_WRL,1835,5.873858065
36,36,36,World,OWID_WRL,1836,6.261173297999999
37,37,37,World,OWID_WRL,1837,6.108251403
38,38,38,World,OWID_WRL,1838,6.503422447
39,39,39,World,OWID_WRL,1839,6.468313742
40,40,40,World,OWID_WRL,1840,7.074869422000001
41,41,41,World,OWID_WRL,1841,7.13085229
42,42,42,World,OWID_WRL,1842,7.038598453
